Cidade,Curso,Grau,Turno,Vagas,Inscritos,year,Inscritos/Vagas
Volta redonda,Química,Bacharelado,Integral,62.0,404.0,2019,6.516129032258065
Volta redonda,Química,Licenciatura,Integral,62.0,335.0,2019,5.403225806451613
Angra dos reis,Pedagogia,Licenciatura,Noturno,41.0,568.0,2020,13.853658536585366
Angra dos reis,Pedagogia,Licenciatura,Vespertino,41.0,316.0,2020,7.7073170731707314
Angra dos reis,Políticas públicas,Bacharelado,Noturno,40.0,405.0,2020,10.125
Angra dos reis,Geografia,Licenciatura,Vespertino,40.0,251.0,2020,6.275
Campos dos goytacazes,Serviço social,Bacharelado,Noturno,100.0,1611.0,2020,16.11
Campos dos goytacazes,Ciências sociais,Licenciatura,Noturno,70.0,577.0,2020,8.242857142857142
Campos dos goytacazes,Geografia,Bacharelado,Vespertino,62.0,465.0,2020,7.5
Campos dos goytacazes,Ciências econômicas,Bacharelado,Integral,120.0,992.0,2020,8.266666666666667
Campos dos goytacazes,Geografia,Licenciatura,Noturno,63.0,386.0,2020,6.126984126984127
Campos dos goytacazes,Ciências sociais,Bacharelado,Noturno,60.0,470.0,2020,7.833333333333333
Campos dos goytacazes,Psicologia,Bacharelado,Integral,110.0,3317.0,2020,30.154545454545456
Campos dos goytacazes,História,Licenciatura,Noturno,40.0,479.0,2020,11.975
Campos dos goytacazes,História,Bacharelado,Noturno,50.0,404.0,2020,8.08
Macaé,Administração,Bacharelado,Noturno,50.0,1817.0,2020,36.34
Macaé,Ciências contábeis,Bacharelado,Noturno,50.0,564.0,2020,11.28
Macaé,Direito,Bacharelado,Integral,100.0,2191.0,2020,21.91
Niterói,Arquivologia,Bacharelado,Integral,80.0,1075.0,2020,13.4375
Niterói,Biblioteconomia e documentação,Bacharelado,Integral,80.0,1084.0,2020,13.55
Niterói,Ciências sociais,Licenciatura,Noturno,30.0,310.0,2020,10.333333333333334
Niterói,Ciências sociais,Licenciatura,Vespertino,30.0,224.0,2020,7.466666666666667
Niterói,Física,Licenciatura,Integral,50.0,164.0,2020,3.28
Niterói,Física,Licenciatura,Noturno,60.0,271.0,2020,4.516666666666667
Niterói,Geografia,Licenciatura,Matutino,25.0,353.0,2020,14.12
Niterói,Geografia,Licenciatura,Noturno,25.0,188.0,2020,7.52
Niterói,Pedagogia,Licenciatura,Integral,160.0,2883.0,2020,18.01875
Niterói,Serviço social,Bacharelado,Noturno,110.0,855.0,2020,7.7727272727272725
Niterói,Serviço social,Bacharelado,Vespertino,55.0,356.0,2020,6.472727272727273
Niterói,Medicina,Bacharelado,Integral,180.0,11396.0,2020,63.31111111111111
Niterói,Odontologia,Bacharelado,Integral,90.0,3252.0,2020,36.13333333333333
Niterói,Nutrição,Bacharelado,Integral,81.0,2484.0,2020,30.666666666666668
Niterói,Farmácia,Bacharelado,Integral,144.0,1500.0,2020,10.416666666666666
Niterói,Ciências econômicas,Bacharelado,Matutino,100.0,910.0,2020,9.1
